IL ID,Label,Viscosity Group,Temp
499,"im-3nh2,1 + imidazolide",L,313.2
500,"im-3o1,1 + bf4",L,303.2
501,"im-3o1,1 + pf6",L,303.2
502,"im-3o1,2o1,1 + ntf2",L,298.2
503,"im-3o1,2o1,2 + ntf2",L,298.2
504,"im-3o1,2o2,1 + ntf2",L,298.2
505,"im-3o1,2o2,2 + ntf2",L,298.2
506,"im-3oh,1 + cl",H,293.15
507,"im-3oh,2 + cl",H,293.15
508,"im-3oh[2],1 + cl",H,298.2
509,"im-3oh[2],1 + no3",H,298.2
510,"im-3oh[2],1 + ntf2",H,298.2
511,"im-3oh[2],1 + pf6",H,298.2
512,"im-3ph,1 + ntf2",H,298.15
513,"im-3so3h,1[2] + camphorsulfonate",H,293.15
514,"im-3so3h,1 + camphorsulfonate",H,293.15
515,"im-3so3h,2[2] + camphorsulfonate",H,293.15
516,"im-3so3h,2 + camphorsulfonate",H,293.15
517,"im-3so3h,4 + camphorsulfonate",H,293.15
518,"im-3so3h,ph[2] + camphorsulfonate",H,293.15
519,im-3so3h + camphorsulfonate,H,293.15
520,"im-4,1,1 + al(ohfip)4",L,273.2
521,"im-4,1,1 + bf4",H,298.0
522,"im-4,1,1 + dca",L,293.0
523,"im-4,1,1 + fap",H,283.15
524,"im-4,1,1 + h2po4",L,333.15
525,"im-4,1,1 + hso4",H,288.15
526,"im-4,1,1 + ntf2",L,293.15
527,"im-4,1,1 + scn",H,293.0
528,"im-4,1,1 + so4-1,3[f],chf2",H,298.2
529,"im-4,1,1 + so4-3,2[f]",H,298.2
530,"im-4,1,1 + tcb",L,336.2
531,"im-4,1,1o2 + ntf2",L,298.2
532,"im-4,1,1o3 + ntf2",L,298.2
533,"im-4,1 + 1ac",H,303.15
534,"im-4,1 + 2ac",H,303.15
535,"im-4,1 + ac",H,298.15
536,"im-4,1 + al(ohfip)4",L,313.2
537,"im-4,1 + ala",L,298.15
538,"im-4,1 + alcl4",L,298.0
539,"im-4,1 + behss",H,298.2
540,"im-4,1 + bf2ox",H,263.15
541,"im-4,1 + bf3-1[f]",L,298.2
542,"im-4,1 + bf3-2[f]",L,298.2
543,"im-4,1 + bf3-3icn",L,303.2
544,"im-4,1 + bf3-ph-1[f][3]",L,298.15
545,"im-4,1 + bf3-ph-1[f][4]",L,298.15
546,"im-4,1 + bf3-ph-cn[3]",H,298.15
547,"im-4,1 + bf3-ph-cn[4]",H,298.15
548,"im-4,1 + bf3-ph-f[2]",L,298.15
549,"im-4,1 + bf3-ph-f[3]",L,298.15
550,"im-4,1 + bf3-ph-f[4]",L,298.15
551,"im-4,1 + bf3-ph-o1[2]",H,298.15
552,"im-4,1 + bf3-ph-o1[3]",H,298.15
553,"im-4,1 + bf3-ph-o1[4]",H,298.15
554,"im-4,1 + bf3-ph",L,298.15
555,"im-4,1 + bf4",H,278.15
556,"im-4,1 + br",H,298.2
557,"im-4,1 + ccn3",L,278.15
558,"im-4,1 + cl",H,348.15
559,"im-4,1 + clo4",H,283.15
560,"im-4,1 + coscn4",H,288.15
561,"im-4,1 + ctf3",H,278.15
562,"im-4,1 + dca",L,298.0
563,"im-4,1 + fap",L,293.15
564,"im-4,1 + 43500",L,298.2
565,"im-4,1 + fecl4",L,293.2
566,"im-4,1 + for",L,303.15
567,"im-4,1 + fpi",L,293.0
568,"im-4,1 + fsa",L,273.15
569,"im-4,1 + glu",L,298.15
570,"im-4,1 + gly",L,298.15
